Day Index,Qa Sales,Qb Sales,Qa Stock,Qb Stock
0,0,0,60,30
1,4,4,56,26
2,4,8,56,22
3,4,11,56,19
4,8,13,52,17
5,8,14,52,16
6,11,15,49,15
7,11,16,49,14
8,11,17,49,13
9,18,18,42,30
10,18,18,42,30
11,18,18,42,30
12,23,19,37,29
13,23,19,37,29
14,23,19,37,29
15,24,22,36,26
16,24,22,36,26
17,24,22,36,26
18,27,26,33,22
19,31,26,29,22
20,31,26,29,22
21,35,27,25,21
22,35,27,25,21
23,35,27,25,21
24,37,30,23,18
25,37,30,23,18
26,37,30,23,18
27,40,32,20,16
28,40,32,20,16
29,40,32,20,16
30,43,34,17,14
31,43,34,17,14
32,44,34,16,14
33,46,35,14,13
34,46,36,14,30
35,46,36,14,30
36,47,36,13,30
37,47,41,13,25
38,48,43,60,23
39,58,43,50,23
40,60,44,48,22
41,60,46,48,20
42,67,46,41,20
43,67,46,41,20
44,67,47,41,19
45,74,47,34,19
46,75,48,33,18
47,76,48,32,18
48,76,48,32,18
49,78,50,30,16
50,81,50,27,16
51,84,51,24,15
52,85,51,23,15
53,86,52,22,14
54,86,52,22,14
55,86,53,22,13
56,88,53,20,13
57,90,54,18,30
58,90,54,18,30
59,90,58,18,26
59,90,58,17,26
